date,hour,time_period,location,latitude,longitude,weather_condition,temperature_c,humidity_pct,wind_speed_kmh,visibility_km,rainfall_mm,congestion_pct,speed_kmh,is_weekend,road_type,is_junction,is_school_zone,flood_risk,risk_score,accident
2023-02-06,4,Early Morning,GST Road,12.96181,80.19656,Clear,31.2,49.3,13.9,13.2,0.0,31,48.5,0,Flyover,0,0,0,29.5,0
2022-08-04,7,Night,GST Road,12.9811,80.20502,Light Rain,27.2,80.7,11.3,4.9,3.7,76,21.2,0,Urban,1,0,0,74.8,1
2022-10-25,18,Evening Peak,Tambaram,12.91928,80.12428,Clear,24.8,72.2,8.9,6.3,0.0,75,25.9,0,Highway,1,1,0,81.9,1
2022-03-11,7,Night,OMR IT Corridor,12.92513,80.21983,Clear,22.1,50.6,17.7,6.1,0.0,37,52.3,0,Industrial,0,1,0,45.7,0
2024-07-17,19,Evening Peak,Adyar,12.99799,80.25915,Fog,28.7,69.8,15.8,0.3,0.0,100,5.0,0,Urban,0,1,0,75.8,1
2024-09-25,17,Evening Peak,Manali,13.16566,80.25678,Clear,26.0,46.9,8.6,12.0,0.0,70,28.9,0,Flyover,0,0,0,51.1,0
2022-07-13,7,Night,Manali,13.1677,80.25095,Clear,31.0,66.4,4.3,7.1,0.0,30,60.5,0,Urban,0,0,0,33.1,0
2022-06-19,16,Night,OMR IT Corridor,12.9312,80.22993,Thunderstorm,29.9,67.8,5.5,1.4,59.9,86,11.7,1,Flyover,1,0,1,99.0,1
2024-12-22,16,Night,Anna Salai,13.05093,80.25566,Clear,33.4,51.9,19.0,9.3,0.0,56,37.2,1,Industrial,0,0,0,47.1,0
2022-12-06,20,Evening Peak,T Nagar,13.0402,80.2252,Clear,32.3,61.2,19.2,8.0,0.0,100,5.0,0,Coastal,1,0,0,90.9,0
2023-08-31,12,Afternoon,Pallavaram,12.96701,80.15154,Fog,26.0,76.7,7.8,0.5,0.0,77,14.3,0,Flyover,1,0,0,70.6,1
2023-10-01,6,Night,Pallavaram,12.9638,80.15422,Clear,32.6,49.2,10.7,11.3,0.0,37,51.9,1,Arterial,1,0,0,38.9,0
2023-05-12,12,Afternoon,Ambattur,13.11784,80.16522,Drizzle,34.1,68.7,8.3,5.7,1.2,46,41.5,0,Arterial,1,0,0,57.4,0
2024-04-02,3,Early Morning,Tambaram,12.92683,80.1247,Clear,33.9,65.2,15.7,14.5,0.0,3,84.4,0,Highway,1,0,0,33.7,0
2024-12-09,3,Early Morning,Ambattur,13.10559,80.15176,Clear,30.6,64.8,7.4,10.2,0.0,34,60.0,0,Highway,1,0,0,44.5,0
2022-11-11,2,Early Morning,Pallavaram,12.96662,80.15031,Clear,26.7,74.6,8.9,14.2,0.0,19,70.4,0,Urban,0,0,0,13.9,0
2022-12-11,22,Night,Tambaram,12.91887,80.13255,Clear,30.0,53.7,11.4,10.4,0.0,45,50.9,1,Highway,1,0,0,46.4,0
2024-01-13,7,Night,Porur,13.03553,80.15259,Clear,27.0,46.7,3.9,10.5,0.0,42,39.0,1,Urban,1,0,0,45.0,0
2023-05-31,20,Evening Peak,Poonamallee,13.03862,80.15677,Clear,29.0,52.5,8.4,12.0,0.0,47,33.7,0,Highway,0,0,0,43.9,0
2023-05-13,18,Evening Peak,Manali,13.17909,80.25753,Clear,31.0,69.8,10.8,9.9,0.0,66,41.3,1,Industrial,1,0,0,55.9,0
2024-11-28,21,Night,Velachery,13.0069,80.2218,Heavy Rain,38.3,82.5,8.0,0.7,35.1,72,24.2,0,Highway,0,0,1,88.2,1
2024-05-13,12,Afternoon,Tambaram,12.91814,80.12579,Clear,33.4,62.2,11.4,9.1,0.0,50,40.2,0,Coastal,1,0,0,52.8,0
2024-06-03,21,Night,Pallavaram,12.96003,80.15618,Heavy Rain,22.3,93.1,8.0,1.4,10.7,54,30.5,0,Coastal,1,0,0,63.4,0
2023-06-04,11,Afternoon,Porur,13.03614,80.14847,Clear,30.4,68.5,7.8,9.2,0.0,56,30.0,1,Flyover,1,0,0,64.0,0
2022-11-25,6,Night,Poonamallee,13.04842,80.1513,Clear,27.5,54.7,9.2,10.9,0.0,13,69.1,0,Urban,1,0,0,33.1,0
2024-10-20,2,Early Morning,Koyambedu,13.06927,80.19371,Light Rain,30.6,70.7,18.5,4.2,8.2,34,49.8,1,Highway,1,0,0,53.8,0
2024-10-15,20,Evening Peak,OMR IT Corridor,12.91747,80.22597,Clear,27.4,70.7,10.7,7.8,0.0,95,5.0,0,Urban,1,1,0,86.0,0
2023-10-24,0,Early Morning,Kathipara,13.00994,80.20532,Light Rain,26.4,79.6,5.2,3.2,5.6,51,41.2,0,Industrial,1,0,0,68.3,1
2024-04-08,8,Morning Peak,OMR IT Corridor,12.92577,80.22335,Clear,30.0,56.9,18.6,10.8,0.0,84,15.6,0,Highway,1,0,0,59.1,0
2023-08-25,19,Evening Peak,ECR,12.90013,80.26131,Clear,28.9,52.4,4.8,8.9,0.0,20,61.0,0,Urban,0,0,0,29.0,0
2023-03-25,7,Night,Pallavaram,12.96143,80.13886,Clear,33.5,51.5,2.2,11.8,0.0,34,53.5,1,Arterial,1,1,0,41.2,0
2024-09-16,14,Afternoon,Velachery,13.00608,80.22112,Fog,28.7,78.1,9.2,1.0,0.0,82,13.4,0,Industrial,1,1,0,67.4,0
2024-01-16,8,Morning Peak,Velachery,13.00539,80.2238,Drizzle,29.8,71.2,8.4,7.6,1.9,95,5.0,0,Flyover,0,1,0,62.6,0
2023-05-21,17,Evening Peak,ECR,12.90399,80.24774,Fog,32.8,76.7,7.6,1.0,0.0,40,40.7,1,Industrial,0,0,0,36.9,0
2023-04-04,14,Afternoon,Adyar,13.00853,80.25518,Clear,28.5,63.6,10.9,6.5,0.0,53,37.5,0,Coastal,0,1,0,40.5,0
2022-02-15,17,Evening Peak,Manali,13.16637,80.25113,Clear,24.5,49.4,14.3,6.5,0.0,83,6.8,0,Highway,1,0,0,69.9,1
2022-02-26,22,Night,ECR,12.89709,80.25555,Clear,32.9,73.3,19.8,12.3,0.0,9,70.2,1,Arterial,1,0,0,28.7,0
2023-09-16,10,Morning Peak,GST Road,12.97175,80.20248,Fog,29.6,78.9,14.3,0.9,0.0,100,5.0,1,Urban,1,1,0,89.0,1
2024-01-04,18,Evening Peak,Kathipara,13.00791,80.21363,Clear,27.4,46.9,9.4,6.6,0.0,100,5.0,0,Arterial,1,0,0,80.1,0
2023-01-03,5,Night,Anna Salai,13.07314,80.25568,Clear,28.9,73.4,12.3,10.5,0.0,65,23.8,0,Flyover,0,0,0,50.2,0
2024-08-29,4,Early Morning,Porur,13.02929,80.15946,Light Rain,28.9,84.8,17.8,2.4,4.2,25,60.1,0,Coastal,0,0,0,42.0,0
2023-02-15,7,Night,Koyambedu,13.06324,80.19138,Clear,25.3,60.7,2.4,11.7,0.0,52,48.9,0,Industrial,0,0,0,38.8,0
2024-02-04,3,Early Morning,OMR IT Corridor,12.93086,80.22057,Heavy Rain,32.2,71.4,14.2,2.0,10.4,55,27.3,1,Industrial,1,1,0,62.6,0
2022-12-20,6,Night,T Nagar,13.03367,80.22157,Clear,28.5,71.2,18.4,7.6,0.0,56,35.9,0,Industrial,0,0,0,46.4,0
2024-06-21,22,Night,Porur,13.03527,80.17269,Clear,30.7,49.5,16.7,7.6,0.0,39,51.4,0,Highway,1,1,0,46.9,0
2022-09-04,9,Morning Peak,Pallavaram,12.96898,80.14871,Light Rain,21.6,77.4,12.9,3.4,2.6,84,21.9,1,Industrial,1,1,0,81.7,1
2024-03-07,14,Afternoon,Kathipara,13.01018,80.19898,Clear,27.3,52.4,4.5,6.6,0.0,79,30.3,0,Coastal,0,0,0,60.8,0
2024-01-04,1,Early Morning,Pallavaram,12.97302,80.15711,Clear,30.4,67.6,12.6,10.3,0.0,22,58.2,0,Industrial,0,0,0,11.6,0
2024-12-15,18,Evening Peak,ECR,12.90572,80.24863,Clear,24.3,67.7,13.6,10.7,0.0,28,51.4,1,Urban,0,0,0,29.7,0
2023-02-10,9,Morning Peak,T Nagar,13.04197,80.23544,Clear,28.6,48.1,12.1,9.9,0.0,100,6.0,0,Industrial,0,0,0,63.5,0
2023-08-12,21,Night,Tambaram,12.91453,80.12695,Heavy Rain,28.3,63.1,31.8,1.7,15.6,73,22.4,1,Flyover,1,0,1,99.0,0
2024-12-30,0,Early Morning,Anna Salai,13.06252,80.2559,Clear,25.8,69.7,14.3,9.5,0.0,25,64.1,0,Coastal,1,0,0,48.3,0
2023-01-01,16,Night,Koyambedu,13.0673,80.18528,Clear,31.0,51.4,10.2,6.4,0.0,60,25.9,1,Arterial,1,0,0,56.9,0
2022-05-30,22,Night,GST Road,12.97339,80.19392,Clear,31.3,56.4,18.2,11.1,0.0,40,37.4,0,Highway,1,0,0,54.3,0
2023-05-08,21,Night,Porur,13.03307,80.17184,Clear,31.4,50.3,9.0,9.0,0.0,34,48.2,0,Arterial,0,0,0,32.4,0
2022-04-02,4,Early Morning,OMR IT Corridor,12.92912,80.21875,Clear,31.7,65.4,14.8,11.6,0.0,29,51.9,1,Flyover,0,1,0,20.0,0
2023-07-13,13,Afternoon,Tambaram,12.91391,80.11638,Heavy Rain,34.8,89.5,10.7,1.7,21.3,89,7.3,0,Coastal,0,0,1,89.7,1
2024-07-08,4,Early Morning,T Nagar,13.04802,80.24024,Clear,29.3,68.7,3.2,6.6,0.0,28,48.6,0,Industrial,0,1,0,34.6,0
2023-06-10,21,Night,Tambaram,12.9199,80.12421,Clear,29.2,61.1,7.1,9.6,0.0,39,45.5,1,Industrial,0,0,0,35.3,0
2024-03-19,6,Night,Kathipara,13.00632,80.21154,Clear,34.9,59.1,4.0,10.5,0.0,67,21.8,0,Arterial,0,0,0,57.6,0
2022-06-21,22,Night,Ambattur,13.1094,80.14671,Heavy Rain,35.1,85.8,18.3,1.2,21.1,64,24.7,0,Highway,1,0,1,94.7,0
2023-10-14,1,Early Morning,ECR,12.89028,80.25966,Heavy Rain,28.0,76.2,32.0,0.7,35.8,16,59.7,1,Highway,0,0,1,62.1,0
2023-08-21,16,Night,Kathipara,13.01786,80.20681,Light Rain,29.9,85.2,2.5,4.5,4.0,70,12.7,0,Coastal,0,0,0,59.4,0
2024-12-18,9,Morning Peak,Poonamallee,13.04466,80.15688,Light Rain,28.8,78.1,2.3,4.2,3.9,35,44.4,0,Flyover,0,1,0,46.3,0
2024-01-29,1,Early Morning,OMR IT Corridor,12.93293,80.21324,Clear,28.7,45.2,2.1,12.2,0.0,33,53.8,0,Highway,1,0,0,44.7,0
2022-09-03,7,Night,Ambattur,13.11395,80.14219,Drizzle,24.1,92.8,13.6,6.3,0.2,41,52.5,1,Urban,1,0,0,46.3,0
2023-05-02,21,Night,Manali,13.16466,80.25642,Clear,26.7,74.6,10.2,9.1,0.0,10,80.4,0,Arterial,0,1,0,21.0,0
2023-04-04,4,Early Morning,Adyar,13.00923,80.25667,Clear,43.0,71.5,8.6,7.6,0.0,33,55.6,0,Highway,0,0,0,30.4,0
2022-03-29,14,Afternoon,Velachery,13.00233,80.22489,Clear,25.7,51.8,9.2,10.9,0.0,34,56.0,0,Flyover,0,1,0,28.9,0
2024-05-12,13,Afternoon,Manali,13.17286,80.25811,Clear,29.8,54.8,9.2,10.0,0.0,48,42.0,1,Flyover,1,0,0,40.1,0
2023-01-27,18,Evening Peak,GST Road,12.9673,80.20326,Clear,29.8,68.5,8.5,12.6,0.0,100,5.9,0,Coastal,1,0,0,77.9,1
2023-09-21,6,Night,Velachery,13.00197,80.21692,Heavy Rain,26.2,87.1,23.7,0.7,29.6,62,18.8,0,Highway,0,0,1,93.8,1
2024-11-25,13,Afternoon,OMR IT Corridor,12.93011,80.22724,Clear,33.4,51.2,12.2,6.2,0.0,43,51.8,0,Arterial,0,0,0,55.6,0
2022-11-16,20,Evening Peak,Velachery,13.0002,80.22476,Fog,29.5,68.6,15.3,0.8,0.0,100,5.0,0,Coastal,0,1,0,74.5,0
2022-03-14,21,Night,Kathipara,13.01367,80.20749,Clear,30.1,45.3,17.5,6.8,0.0,73,13.3,0,Highway,0,0,0,49.7,0
2024-01-01,6,Night,Tambaram,12.92358,80.12763,Light Rain,23.7,80.4,16.9,2.9,8.6,48,45.6,0,Coastal,0,0,0,54.5,0
2023-09-14,3,Early Morning,Ambattur,13.11859,80.15418,Fog,33.0,65.3,9.5,0.9,0.0,37,48.2,0,Industrial,1,0,0,61.9,0
2024-08-19,22,Night,Adyar,13.00264,80.26763,Clear,32.4,49.4,10.0,14.1,0.0,40,41.1,0,Highway,0,0,0,36.8,0
2024-02-16,15,Night,OMR IT Corridor,12.92853,80.22536,Clear,27.3,74.6,8.5,11.3,0.0,53,39.3,0,Coastal,1,0,0,46.8,0
2022-02-10,15,Night,T Nagar,13.04668,80.2341,Clear,34.2,47.1,4.4,14.0,0.0,60,21.2,0,Urban,1,1,0,55.3,0
2022-08-16,21,Night,GST Road,12.96841,80.20817,Clear,27.5,66.3,19.1,8.9,0.0,57,35.6,0,Highway,0,1,0,48.0,0
2024-10-10,0,Early Morning,ECR,12.89731,80.26082,Clear,30.9,50.8,7.0,9.8,0.0,23,63.6,0,Industrial,1,0,0,34.3,0
2023-10-15,5,Night,Anna Salai,13.06085,80.25251,Clear,33.1,52.9,19.9,12.3,0.0,59,35.0,1,Urban,0,0,0,43.0,0
2024-07-27,21,Night,Kathipara,13.01219,80.21203,Light Rain,28.4,80.1,7.4,2.1,8.8,69,27.4,1,Arterial,1,0,1,99.0,1
2023-07-08,22,Night,Velachery,13.00766,80.22666,Light Rain,27.8,87.4,9.3,5.2,8.7,36,53.5,1,Urban,0,0,0,37.3,0
2023-06-20,17,Evening Peak,GST Road,12.96603,80.19675,Fog,33.8,63.0,14.0,0.4,0.0,100,5.0,0,Urban,1,1,0,89.4,1
2022-09-21,3,Early Morning,GST Road,12.97579,80.19829,Heavy Rain,24.5,88.1,28.4,1.1,14.6,35,57.7,0,Highway,0,0,0,56.0,0
2023-11-30,19,Evening Peak,Kathipara,13.00921,80.21273,Heavy Rain,22.1,87.5,8.2,1.4,36.1,100,5.5,0,Highway,0,0,1,99.0,0
2023-01-16,2,Early Morning,Tambaram,12.91859,80.13839,Clear,29.5,68.7,6.2,6.0,0.0,27,57.7,0,Highway,1,0,0,50.9,0
2024-12-20,6,Night,Manali,13.16785,80.2593,Clear,23.3,59.1,15.2,12.4,0.0,53,36.2,0,Industrial,1,0,0,42.7,0
2023-01-14,16,Night,Anna Salai,13.06428,80.26186,Heavy Rain,28.1,90.7,22.3,2.0,17.9,83,5.0,1,Arterial,1,0,1,99.0,1
2023-01-19,10,Morning Peak,Ambattur,13.10613,80.15268,Clear,25.3,63.0,11.1,7.5,0.0,81,10.7,0,Urban,0,0,0,50.6,0
2023-12-08,23,Early Morning,GST Road,12.97195,80.20421,Clear,25.0,74.0,6.5,11.9,0.0,16,71.3,0,Arterial,0,0,0,31.3,0
2023-12-06,23,Early Morning,Anna Salai,13.06847,80.26259,Clear,32.5,66.5,2.2,13.4,0.0,51,37.4,0,Flyover,1,0,0,49.7,0
2024-01-11,22,Night,T Nagar,13.03972,80.23411,Clear,30.5,62.1,15.1,14.6,0.0,66,20.5,0,Urban,0,0,0,37.6,0
2024-09-10,11,Afternoon,Manali,13.17349,80.2624,Light Rain,27.9,66.0,14.4,4.0,5.9,48,45.9,0,Coastal,0,0,0,48.8,0
2024-04-05,14,Afternoon,Porur,13.0433,80.15757,Clear,29.8,49.3,15.5,10.1,0.0,62,43.6,0,Coastal,1,1,0,58.9,0
2023-10-11,12,Afternoon,Porur,13.03605,80.16081,Clear,33.3,64.9,5.1,9.6,0.0,51,51.1,0,Industrial,1,0,0,54.6,0
2022-02-03,12,Afternoon,Manali,13.16524,80.25312,Fog,28.5,60.8,9.1,0.5,0.0,73,25.9,0,Urban,1,1,0,64.1,0
2023-07-23,7,Night,GST Road,12.97448,80.19236,Fog,21.4,65.6,19.4,0.8,0.0,80,18.3,1,Highway,0,0,0,69.6,0
2024-09-03,19,Evening Peak,Adyar,13.00285,80.25071,Heavy Rain,31.0,67.6,19.7,1.3,24.8,100,5.0,0,Urban,1,0,1,99.0,1
2024-05-28,19,Evening Peak,Kathipara,13.01724,80.2121,Clear,30.4,65.7,4.3,10.8,0.0,100,5.0,0,Industrial,1,0,0,82.7,1
2024-05-04,7,Night,GST Road,12.96993,80.19835,Clear,34.4,72.3,18.2,12.2,0.0,40,49.3,1,Flyover,1,1,0,49.2,0
2023-07-29,17,Evening Peak,Koyambedu,13.07313,80.19527,Fog,28.5,71.3,13.4,0.5,0.0,100,5.0,1,Arterial,1,0,0,89.3,1
2024-08-20,0,Early Morning,Koyambedu,13.07309,80.18908,Fog,29.5,86.3,13.2,0.3,0.0,42,47.6,0,Highway,1,0,0,54.5,0
2023-06-29,2,Early Morning,Manali,13.16366,80.25845,Thunderstorm,27.3,87.2,19.2,0.5,50.8,25,61.7,0,Arterial,1,0,1,88.0,1
2022-10-27,8,Morning Peak,Koyambedu,13.07471,80.20649,Fog,25.2,90.9,5.6,0.5,0.0,100,5.0,0,Flyover,0,1,0,71.8,0
2023-08-29,23,Early Morning,Anna Salai,13.0689,80.25017,Clear,28.7,68.7,9.6,7.8,0.0,37,46.0,0,Highway,0,0,0,39.4,0
2023-08-30,0,Early Morning,Anna Salai,13.05854,80.26061,Clear,25.7,47.4,10.4,12.9,0.0,27,61.2,0,Arterial,0,0,0,30.0,0
2022-11-18,19,Evening Peak,Manali,13.16603,80.25804,Clear,27.6,66.2,10.2,7.0,0.0,65,29.1,0,Arterial,1,0,0,73.4,1
2022-04-18,10,Morning Peak,Poonamallee,13.04191,80.15916,Clear,34.4,70.0,8.8,7.3,0.0,51,35.1,0,Highway,1,0,0,47.1,0
2024-03-21,5,Night,Koyambedu,13.07091,80.19206,Clear,26.4,67.7,2.7,12.8,0.0,63,29.8,0,Industrial,0,0,0,36.9,0
2022-09-28,15,Night,Kathipara,13.00376,80.21595,Clear,25.9,48.1,4.9,7.3,0.0,59,33.0,0,Flyover,0,0,0,57.9,0
2024-01-02,10,Morning Peak,Kathipara,13.00708,80.21027,Clear,24.2,60.7,13.6,12.8,0.0,100,5.0,0,Coastal,1,0,0,82.2,1
2023-03-01,14,Afternoon,OMR IT Corridor,12.9268,80.22142,Fog,28.2,69.1,6.3,0.9,0.0,80,8.6,0,Flyover,1,0,0,73.3,0
2023-04-07,15,Night,Anna Salai,13.07316,80.25208,Light Rain,33.6,71.2,9.0,5.0,9.5,65,23.6,0,Flyover,1,0,1,95.6,1
2024-04-29,17,Evening Peak,Kathipara,13.01174,80.20971,Light Rain,31.5,80.4,2.1,4.4,2.9,100,5.0,0,Flyover,0,1,0,72.4,0
2022-12-03,12,Afternoon,GST Road,12.97232,80.20426,Light Rain,26.3,73.1,9.0,2.0,6.6,70,16.3,1,Arterial,1,0,0,83.3,1
2023-06-18,12,Afternoon,Kathipara,13.00644,80.21618,Clear,26.4,58.4,19.4,10.1,0.0,81,14.4,1,Flyover,1,0,0,72.4,1
2022-03-27,12,Afternoon,Ambattur,13.10988,80.15546,Fog,29.4,85.7,7.4,0.9,0.0,71,16.6,1,Flyover,1,1,0,69.4,0
2024-01-10,14,Afternoon,Anna Salai,13.06238,80.25571,Clear,32.9,71.7,17.2,8.1,0.0,66,35.2,0,Arterial,1,0,0,71.2,1
2023-01-06,10,Morning Peak,GST Road,12.97642,80.19837,Clear,27.4,56.7,15.6,12.5,0.0,91,17.0,0,Coastal,0,0,0,59.9,0
2023-05-24,2,Early Morning,ECR,12.89856,80.25478,Fog,28.7,61.1,2.9,0.2,0.0,20,63.9,0,Highway,1,1,0,43.6,0
2023-09-14,14,Afternoon,Velachery,13.01221,80.21552,Clear,30.4,64.4,19.5,14.7,0.0,44,49.6,0,Flyover,1,0,0,30.8,0
2024-05-05,20,Evening Peak,Anna Salai,13.06295,80.24935,Clear,33.6,48.6,4.6,6.3,0.0,100,5.0,1,Coastal,1,1,0,84.6,1
2022-03-04,15,Night,OMR IT Corridor,12.92514,80.21561,Heavy Rain,30.7,79.5,13.1,0.6,17.0,87,19.7,0,Flyover,1,0,1,93.8,1
2024-03-25,21,Night,Velachery,13.01471,80.2189,Heavy Rain,25.1,74.4,34.2,1.2,34.9,62,30.1,0,Industrial,1,0,1,99.0,0
2023-07-31,23,Early Morning,Manali,13.17152,80.25793,Light Rain,29.9,84.1,16.6,3.1,7.0,19,58.3,0,Flyover,0,0,0,29.5,0
2024-06-10,17,Evening Peak,Tambaram,12.91469,80.12756,Fog,27.6,89.7,2.9,0.4,0.0,100,5.0,0,Urban,0,0,0,82.4,1
2024-02-04,21,Night,Pallavaram,12.9735,80.14974,Clear,31.0,55.4,5.1,11.0,0.0,35,61.4,1,Coastal,0,1,0,33.3,0
2023-08-22,4,Early Morning,Porur,13.03416,80.15007,Clear,31.9,65.3,9.3,14.0,0.0,27,62.5,0,Coastal,0,0,0,19.8,0
2022-10-09,10,Morning Peak,Pallavaram,12.96896,80.14808,Light Rain,29.2,61.5,11.1,3.9,7.8,85,5.0,1,Flyover,0,0,0,65.0,0
2022-11-23,18,Evening Peak,OMR IT Corridor,12.93275,80.21794,Clear,26.6,69.7,9.1,13.1,0.0,93,5.0,0,Coastal,1,1,0,71.4,0
2024-11-30,3,Early Morning,ECR,12.90122,80.248,Heavy Rain,29.1,84.8,15.0,1.9,29.9,22,67.0,1,Highway,0,0,1,55.5,0
2024-02-04,17,Evening Peak,Pallavaram,12.96999,80.15259,Clear,29.8,56.8,12.4,11.9,0.0,83,5.1,1,Flyover,0,0,0,58.6,0
2022-08-06,7,Night,T Nagar,13.03895,80.23231,Clear,26.3,66.5,18.1,7.4,0.0,75,21.5,1,Industrial,1,0,0,62.8,0
2022-05-28,22,Night,Adyar,12.99567,80.26405,Clear,27.3,69.8,11.8,9.7,0.0,29,51.8,1,Highway,1,0,0,42.9,0
2022-02-03,0,Early Morning,Adyar,13.01378,80.26097,Fog,28.2,68.9,19.1,0.3,0.0,33,55.1,0,Coastal,1,0,0,49.3,0
2022-01-22,22,Night,ECR,12.903,80.25307,Fog,26.9,67.3,9.7,0.5,0.0,26,64.0,1,Industrial,1,0,0,45.3,0
2022-03-27,21,Night,Manali,13.16479,80.26101,Clear,26.6,59.2,16.4,10.5,0.0,32,49.0,1,Industrial,1,0,0,39.3,0
2023-12-20,21,Night,Manali,13.16702,80.26185,Clear,29.9,73.9,15.7,9.4,0.0,32,48.4,0,Highway,0,0,0,30.9,0
2022-06-19,7,Night,Tambaram,12.92347,80.12843,Clear,30.4,55.1,12.9,11.7,0.0,52,43.5,1,Coastal,0,0,0,35.0,0
2024-07-13,6,Night,ECR,12.89922,80.2475,Thunderstorm,29.6,90.2,28.4,0.3,25.1,28,64.8,1,Industrial,0,0,1,70.5,0
2024-03-05,17,Evening Peak,T Nagar,13.04059,80.24143,Clear,30.7,50.2,10.1,8.3,0.0,100,5.0,0,Arterial,0,0,0,64.0,0
2024-05-23,3,Early Morning,T Nagar,13.04519,80.22945,Drizzle,34.4,77.0,2.1,7.3,0.5,25,58.3,0,Flyover,1,1,0,45.2,0
2024-02-11,1,Early Morning,Adyar,13.00559,80.2499,Clear,25.6,51.9,10.0,9.1,0.0,30,61.6,1,Flyover,1,0,0,31.2,0
2022-12-03,4,Early Morning,OMR IT Corridor,12.93279,80.21705,Clear,22.7,61.9,9.9,14.5,0.0,31,54.9,1,Urban,1,0,0,36.1,0
2024-12-11,22,Night,Koyambedu,13.06847,80.20086,Clear,25.6,61.7,9.6,7.0,0.0,39,51.8,0,Highway,0,1,0,47.4,0
2024-01-03,15,Night,Velachery,13.01038,80.23252,Clear,28.4,72.8,4.5,8.2,0.0,34,57.6,0,Highway,0,0,0,34.1,0
2023-02-07,14,Afternoon,T Nagar,13.04797,80.23406,Clear,27.9,68.7,5.3,9.4,0.0,67,32.9,0,Coastal,0,0,0,48.9,0
2023-02-19,4,Early Morning,Adyar,12.99964,80.25452,Fog,29.1,60.4,3.1,0.8,0.0,39,55.8,1,Highway,0,0,0,41.7,0
2024-12-22,0,Early Morning,Adyar,13.01329,80.25031,Clear,33.2,69.0,5.4,7.2,0.0,19,63.4,1,Coastal,0,0,0,27.9,0
2022-12-20,12,Afternoon,Poonamallee,13.04622,80.15675,Clear,25.2,69.1,4.6,10.9,0.0,21,63.9,0,Arterial,1,0,0,34.8,0
2022-05-20,15,Night,Poonamallee,13.04117,80.15273,Clear,34.2,57.4,13.3,6.7,0.0,18,64.8,0,Arterial,1,0,0,36.5,0
2024-06-03,1,Early Morning,Porur,13.03618,80.15504,Light Rain,31.6,85.4,8.7,3.6,2.7,38,43.8,0,Coastal,1,1,0,47.9,0
2022-09-18,15,Night,ECR,12.9162,80.24751,Clear,22.9,64.1,6.3,10.6,0.0,1,82.9,1,Industrial,0,0,0,5.0,0
2024-06-05,19,Evening Peak,Anna Salai,13.06252,80.26723,Thunderstorm,31.4,87.2,28.2,1.0,48.2,100,5.0,0,Highway,0,0,1,99.0,0
2023-12-01,9,Morning Peak,Porur,13.04029,80.16282,Clear,25.4,60.3,8.9,8.9,0.0,79,20.2,0,Flyover,1,0,0,76.0,0
2022-10-09,15,Night,Koyambedu,13.07834,80.19357,Heavy Rain,34.8,78.1,23.9,1.2,20.3,59,28.7,1,Urban,1,1,1,93.8,1
2023-04-12,10,Morning Peak,Pallavaram,12.96621,80.14896,Clear,29.5,54.2,16.9,14.2,0.0,81,21.6,0,Industrial,1,0,0,60.0,0
2024-05-18,21,Night,T Nagar,13.04729,80.23589,Clear,30.9,68.6,16.4,11.5,0.0,55,40.5,1,Flyover,0,0,0,43.2,0
2024-01-11,22,Night,Poonamallee,13.05609,80.14611,Clear,24.5,48.5,15.0,7.8,0.0,15,67.4,0,Urban,1,0,0,36.5,0
2023-11-22,5,Night,Pallavaram,12.97384,80.14978,Clear,28.8,52.4,10.7,10.5,0.0,25,64.2,0,Urban,1,0,0,44.5,0
2023-12-01,4,Early Morning,Adyar,12.99699,80.25708,Clear,33.4,74.5,2.1,8.3,0.0,10,68.7,0,Arterial,1,0,0,32.4,0
2024-10-10,14,Afternoon,Pallavaram,12.97155,80.15048,Clear,26.9,53.3,12.2,11.3,0.0,36,55.6,0,Arterial,0,1,0,26.4,0
2024-09-29,19,Evening Peak,Kathipara,13.01115,80.20643,Fog,29.4,72.6,16.4,0.5,0.0,100,5.0,1,Highway,0,0,0,86.1,1
2023-07-04,4,Early Morning,Ambattur,13.12098,80.15439,Heavy Rain,29.3,61.4,24.8,1.6,22.7,37,48.2,0,Highway,0,0,1,71.1,0
2023-07-22,9,Morning Peak,Velachery,13.009,80.22041,Light Rain,28.1,72.4,6.3,2.9,6.4,77,20.1,1,Highway,1,0,0,79.3,1
2024-02-24,6,Night,Poonamallee,13.0424,80.14688,Clear,21.1,47.7,15.3,14.6,0.0,31,57.7,1,Urban,1,0,0,29.0,0
2023-05-20,13,Afternoon,GST Road,12.96591,80.19579,Clear,37.2,53.4,2.1,11.5,0.0,77,19.1,1,Flyover,0,0,0,47.7,0
2024-03-02,14,Afternoon,GST Road,12.97415,80.19583,Clear,23.8,57.3,10.0,13.6,0.0,79,23.6,1,Arterial,1,0,0,58.1,0
2024-02-18,0,Early Morning,Poonamallee,13.04266,80.14021,Clear,26.5,71.3,8.2,7.8,0.0,0,73.3,1,Highway,0,0,0,14.7,0
2024-06-24,19,Evening Peak,GST Road,12.96997,80.19317,Light Rain,25.2,84.5,8.8,4.8,6.4,100,5.0,0,Coastal,0,0,0,79.1,1
2023-05-25,22,Night,Adyar,12.9972,80.25646,Clear,37.5,65.6,12.1,9.4,0.0,29,61.3,0,Flyover,1,0,0,48.8,0
